title	pub_year	authors	journal	abstract	url	num_citations
Broad patterns of gene expression revealed by clustering analysis of tumor and normal colon tissues probed by oligonucleotide arrays	1999.0	['Uri Alon', 'Naama Barkai', 'Daniel A Notterman', 'Kurt Gish', 'Suzanne Ybarra', 'Daniel Mack', 'Arnold J Levine']	Proceedings of the national academy of sciences	Oligonucleotide arrays can provide a broad picture of the state of the cell, by monitoring the expression level of thousands of genes at the same time. It is of interest to develop techniques for extracting useful information from the resulting data sets. Here we report the application of a two-way clustering method for analyzing a data set consisting of the expression patterns of different cell types. Gene expression in 40 tumor and 22 normal colon tissue samples was analyzed with an Affymetrix oligonucleotide array complementary to more than 6,500 human genes. An efficient two-way clustering algorithm was applied to both the genes and the tissues, revealing broad coherent patterns that suggest a high degree of organization underlying gene expression in these tissues. Coregulated families of genes clustered together, as demonstrated for the ribosomal proteins. Clustering also separated cancerous from …	https://www.pnas.org/content/96/12/6745.short	5314
Robustness in simple biochemical networks	1997.0	['Naama Barkai', 'Stan Leibler']	Nature	Cells use complex networks of interacting molecular components to transfer and process information. These “computational devices of living cells” 1 are responsible for many important cellular processes, including cell-cycle regulation and signal transduction. Here we address the issue of the sensitivity of the networks to variations in their biochemical parameters. We propose a mechanism for robust adaptation in simple signal transduction networks. We show that this mechanism applies in particular to bacterial chemotaxis 2, 3, 4, 5, 6, 7. This is demonstrated within a quantitative model which explains, in a unified way, many aspects of chemotaxis, including proper responses to chemical gradients 8, 9, 10, 11, 12. The adaptation property 10, 13, 14, 15, 16 is a consequence of the network's connectivity and does not require the ‘fine-tuning’of parameters. We argue that the key properties of biochemical networks …	https://www.nature.com/articles/43199	1806
Robustness in bacterial chemotaxis	1999.0	['Uri Alon', 'Michael G Surette', 'Naama Barkai', 'Stanislas Leibler']	Nature	Networks of interacting proteins orchestrate the responses of living cells to a variety of external stimuli 1, but how sensitive is the functioning of these protein networks to variations in theirbiochemical parameters? One possibility is that to achieve appropriate function, the reaction rate constants and enzyme concentrations need to be adjusted in a precise manner, and any deviation from these ‘fine-tuned’values ruins the network's performance. An alternative possibility is that key properties of biochemical networks are robust 2; that is, they are insensitive to the precise values of the biochemical parameters. Here we address this issue in experiments using chemotaxis of Escherichia coli, one of the best-characterized sensory systems 3, 4. We focus on how response and adaptation to attractant signals vary with systematic changes in the intracellular concentration of the components of the chemotaxis network. We find …	https://www.nature.com/articles/16483	1421
Revealing modular organization in the yeast transcriptional network	2002.0	['Jan Ihmels', 'Gilgi Friedlander', 'Sven Bergmann', 'Ofer Sarig', 'Yaniv Ziv', 'Naama Barkai']	Nature genetics	Standard clustering methods can classify genes successfully when applied to relatively small data sets, but have limited use in the analysis of large-scale expression data, mainly owing to their assignment of a gene to a single cluster. Here we propose an alternative method for the global analysis of genome-wide expression data. Our approach assigns genes to context-dependent and potentially overlapping'transcription modules', thus overcoming the main limitations of traditional clustering methods. We use our method to elucidate regulatory properties of cellular pathways and to characterize cis-regulatory elements. By applying our algorithm systematically to all of the available expression data on Saccharomyces cerevisiae, we identify a comprehensive set of overlapping transcriptional modules. Our results provide functional predictions for numerous genes, identify relations between modules and present a …	https://www.nature.com/articles/ng941z	900
Noise in protein expression scales with natural protein abundance	2006.0	"['Arren Bar-even', 'Johan Paulsson', 'Narendra Maheshri', 'Miri Carmi', ""Erin O'shea"", 'Yitzhak Pilpel', 'Naama Barkai']"	Nature genetics	Noise in gene expression is generated at multiple levels, such as transcription and translation, chromatin remodeling and pathway-specific regulation. Studies of individual promoters have suggested different dominating noise sources, raising the question of whether a general trend exists across a large number of genes and conditions. We examined the variation in the expression levels of 43 Saccharomyces cerevisiae proteins, in cells grown under 11 experimental conditions. For all classes of genes and under all conditions, the expression variance was approximately proportional to the mean; the same scaling was observed at steady state and during the transient responses to the perturbations. Theoretical analysis suggests that this scaling behavior reflects variability in mRNA copy number, resulting from random'birth and death'of mRNA molecules or from promoter fluctuations. Deviation of coexpressed genes …	https://www.nature.com/articles/ng1807	890
Mechanisms of noise-resistance in genetic oscillators	2002.0	['José Mg Vilar', 'Hao Yuan Kueh', 'Naama Barkai', 'Stanislas Leibler']	Proceedings of the national academy of sciences	A wide range of organisms use circadian clocks to keep internal sense of daily time and regulate their behavior accordingly. Most of these clocks use intracellular genetic networks based on positive and negative regulatory elements. The integration of these “circuits” at the cellular level imposes strong constraints on their functioning and design. Here, we study a recently proposed model [Barkai, N. & Leibler, S. (2000) Nature (London), 403, 267–268] that incorporates just the essential elements found experimentally. We show that this type of oscillator is driven mainly by two elements: the concentration of a repressor protein and the dynamics of an activator protein forming an inactive complex with the repressor. Thus, the clock does not need to rely on mRNA dynamics to oscillate, which makes it especially resistant to fluctuations. Oscillations can be present even when the time average of the number of mRNA …	https://www.pnas.org/content/99/9/5988.short	726
Circadian clocks limited by noise	2000.0	['Naama Barkai', 'Stanislas Leibler']	Nature	Circadian rhythms, which provide internal daily periodicity, are used by a wide range of organisms to anticipate daily changes in the environment 1. It seems that these organisms generate circadian periodicity by similar biochemical networks within a single cell 2. A model based on the common features of these biochemical networks shows that a circadian network can oscillate reliably in the presence of stochastic biochemical noise and when cellular conditions are altered. We propose that the ability to resist such perturbations imposes strict constraints on the oscillation mechanisms underlying circadian periodicity in vivo.	https://www.nature.com/articles/35002258	689
Iterative signature algorithm for the analysis of large-scale gene expression data	2003.0	['Sven Bergmann', 'Jan Ihmels', 'Naama Barkai']	Physical review e	We present an approach for the analysis of genome-wide expression data. Our method is designed to overcome the limitations of traditional techniques, when applied to large-scale data. Rather than alloting each gene to a single cluster, we assign both genes and conditions to context-dependent and potentially overlapping transcription modules. We provide a rigorous definition of a transcription module as the object to be retrieved from the expression data. An efficient algorithm, which searches for the modules encoded in the data by iteratively refining sets of genes and conditions until they match this definition, is established. Each iteration involves a linear map, induced by the normalized expression matrix, followed by the application of a threshold function. We argue that our method is in fact a generalization of singular value decomposition, which corresponds to the special case where no threshold is applied …	https://journals.aps.org/pre/abstract/10.1103/PhysRevE.67.031902	566
Robustness of the BMP morphogen gradient in Drosophila embryonic patterning	2002.0	['Avigdor Eldar', 'Ruslan Dorfman', 'Daniel Weiss', 'Hilary Ashe', 'Ben-zion Shilo', 'Naama Barkai']	Nature	Developmental patterning relies on morphogen gradients, which generally involve feedback loops to buffer against perturbations caused by fluctuations in gene dosage and expression 1. Although many gene components involved in such feedback loops have been identified, how they work together to generate a robust pattern remains unclear. Here we study the network of extracellular proteins that patterns the dorsal region of the Drosophila embryo by establishing a graded activation of the bone morphogenic protein (BMP) pathway. We find that the BMP activation gradient itself is robust to changes in gene dosage. Computational search for networks that support robustness shows that transport of the BMP class ligands (Scw and Dpp) into the dorsal midline by the BMP inhibitor Sog is the key event in this patterning process. The mechanism underlying robustness relies on the ability to store an excess of …	https://www.nature.com/articles/nature01061	511
Similarities and differences in genome-wide expression data of six organisms	2004.0	['Sven Bergmann', 'Jan Ihmels', 'Naama Barkai', 'Michael Eisen']	Plos biology	Comparing genomic properties of different organisms is of fundamental importance in the study of biological and evolutionary principles. Although differences among organisms are often attributed to differential gene expression, genome-wide comparative analysis thus far has been based primarily on genomic sequence information. We present a comparative study of large datasets of expression profiles from six evolutionarily distant organisms: S. cerevisiae, C. elegans, E. coli, A. thaliana, D. melanogaster, and H. sapiens. We use genomic sequence information to connect these data and compare global and modular properties of the transcription programs. Linking genes whose expression profiles are similar, we find that for all organisms the connectivity distribution follows a power-law, highly connected genes tend to be essential and conserved, and the expression program is highly modular. We reveal the modular structure by decomposing each set of expression data into coexpressed modules. Functionally related sets of genes are frequently coexpressed in multiple organisms. Yet their relative importance to the transcription program and their regulatory relationships vary among organisms. Our results demonstrate the potential of combining sequence and expression data for improving functional gene annotation and expanding our understanding of how gene expression and diversity evolved.	https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0020009	456
Defining transcription modules using large-scale gene expression data	2004.0	['Jan Ihmels', 'Sven Bergmann', 'Naama Barkai']	Bioinformatics	 Motivation: Large-scale gene expression data comprising a variety of cellular conditions hold the promise of a global view on the transcription program. While conventional clustering algorithms have been successfully applied to smaller datasets, the utility of many algorithms for the analysis of large-scale data is limited by their inability to capture combinatorial and condition-specific co-regulation. In addition, there is an increasing need to integrate the rapidly accumulating body of other high-throughput biological data with the expression analysis. In a previous work, we introduced the signature algorithm, which overcomes the problems of conventional clustering and allows for intuitive integration of additional biological data. However, this approach is constrained by the comprehensiveness of relevant external data and its lacking ability to capture hierarchical modularity. Methods: We present a …	https://academic.oup.com/bioinformatics/article-abstract/20/13/1993/241660	439
Two strategies for gene regulation by promoter nucleosomes	2008.0	['Itay Tirosh', 'Naama Barkai']	Genome research	Chromatin structure is central for the regulation of gene expression, but its genome-wide organization is only beginning to be understood. Here, we examine the connection between patterns of nucleosome occupancy and the capacity to modulate gene expression upon changing conditions, i.e., transcriptional plasticity. By analyzing genome-wide data of nucleosome positioning in yeast, we find that the presence of nucleosomes close to the transcription start site is associated with high transcriptional plasticity, while nucleosomes at more distant upstream positions are negatively correlated with transcriptional plasticity. Based on this, we identify two typical promoter structures associated with low or high plasticity, respectively. The first class is characterized by a relatively large nucleosome-free region close to the start site coupled with well-positioned nucleosomes further upstream, whereas the second class displays …	https://genome.cshlp.org/content/18/7/1084.short	426
A yeast hybrid provides insight into the evolution of gene expression regulation	2009.0	['Itay Tirosh', 'Sharon Reikhav', 'Avraham A Levy', 'Naama Barkai']	Science	During evolution, novel phenotypes emerge through changes in gene expression, but the genetic basis is poorly understood. We compared the allele-specific expression of two yeast species and their hybrid, which allowed us to distinguish changes in regulatory sequences of the gene itself (cis) from changes in upstream regulatory factors (trans). Expression divergence between species was generally due to changes in cis. Divergence in trans reflected a differential response to the environment and explained the tendency of certain genes to diverge rapidly. Hybrid-specific expression, deviating from the parental range, occurred through novel cis-trans interactions or, more often, through modified trans regulation associated with environmental sensing. These results provide insights on the regulatory changes in cis and trans during the divergence of species and upon hybridization.	https://www.science.org/doi/abs/10.1126/science.1169766	387
Rewiring of the yeast transcriptional network through the evolution of motif usage	2005.0	['Jan Ihmels', 'Sven Bergmann', 'Maryam Gerami-nejad', 'Itai Yanai', 'Mark Mcclellan', 'Judith Berman', 'Naama Barkai']	Science	Recent experiments revealed large-scale differences in the transcription programs of related species, yet little is known about the genetic basis underlying the evolution of gene expression and its contribution to phenotypic diversity. Here we describe a large-scale modulation of the yeast transcription program that is connected to the emergence of the capacity for rapid anaerobic growth. Genes coding for mitochondrial and cytoplasmic ribosomal proteins display a strongly correlated expression pattern in Candida albicans, but this correlation is lost in the fermentative yeast Saccharomyces cerevisiae. We provide evidence that this change in gene expression is connected to the loss of a specific cis-regulatory element from dozens of genes following the apparent whole-genome duplication event. Our results shed new light on the genetic mechanisms underlying the large-scale evolution of transcriptional networks.	https://www.science.org/doi/abs/10.1126/science.1113833	341
Principles of transcriptional control in the metabolic network of Saccharomyces cerevisiae	2004.0	['Jan Ihmels', 'Ronen Levy', 'Naama Barkai']	Nature biotechnology	Cellular networks are subject to extensive regulation, which modifies the availability and efficiency of connections between components in response to external conditions. Thus far, studies of large-scale networks have focused on their connectivity, but have not considered how the modulation of this connectivity might also determine network properties. To address this issue, we analyzed how the coordinated expression of enzymes shapes the metabolic network of Saccharomyces cerevisiae. By integrating large-scale expression data with the structural description of the metabolic network, we systematically characterized the transcriptional regulation of metabolic pathways. The analysis revealed recurrent patterns, which may represent design principles of metabolic gene regulation. First, we find that transcription regulation biases metabolic flow toward linearity by coexpressing only distinct branches at metabolic …	https://www.nature.com/articles/nbt918	319
Self-enhanced ligand degradation underlies robustness of morphogen gradients	2003.0	['Avigdor Eldar', 'Dalia Rosin', 'Ben-zion Shilo', 'Naama Barkai']	Developmental cell	Morphogen gradients provide long-range positional information by extending across a developing field. To ensure reproducible patterning, their profile is invariable despite genetic or environmental fluctuations. Common models assume a morphogen profile that decays exponentially. Here, we show that exponential profiles cannot, at the same time, buffer fluctuations in morphogen production rate and define long-range gradients. To comply with both requirements, morphogens should decay rapidly close to their source but at a significantly slower rate over most of the field. Numerical search revealed two network designs that support robustness to fluctuations in morphogen production rate. In both cases, morphogens enhance their own degradation, leading to a higher degradation rate close to their source. This is achieved through reciprocal interactions between the morphogen and its receptor. The two robust …	https://www.sciencedirect.com/science/article/pii/S1534580703002922	313
A genetic signature of interspecies variations in gene expression	2006.0	['Itay Tirosh', 'Adina Weinberger', 'Miri Carmi', 'Naama Barkai']	Nature genetics	Phenotypic diversity is generated through changes in gene structure or gene regulation. The availability of full genomic sequences allows for the analysis of gene sequence evolution. In contrast, little is known about the principles driving the evolution of gene expression. Here we describe the differential transcriptional response of four closely related yeast species to a variety of environmental stresses. Genes containing a TATA box in their promoters show an increased interspecies variability in expression, independent of their functional association. Examining additional data sets, we find that this enhanced expression divergence of TATA-containing genes is consistent across all eukaryotes studied to date, including nematodes, fruit flies, plants and mammals. TATA-dependent regulation may enhance the sensitivity of gene expression to genetic perturbations, thus facilitating expression divergence at particular …	https://www.nature.com/articles/ng1819	290
The cost of protein production	2016.0	['Moshe Kafri', 'Eyal Metzl-raz', 'Ghil Jona', 'Naama Barkai']	Cell reports	The economy of protein production is central to cell physiology, being intimately linked with cell division rate and cell size. Attempts to model cellular physiology are limited by the scarcity of experimental data defining the molecular processes limiting protein expression. Here, we distinguish the relative contribution of gene transcription and protein translation to the slower proliferation of budding yeast producing excess levels of unneeded proteins. In contrast to widely held assumptions, rapidly growing cells are not universally limited by ribosome content. Rather, transcription dominates cost under some conditions (e.g., low phosphate), translation in others (e.g., low nitrogen), and both in other conditions (e.g., rich media). Furthermore, cells adapted to enforced protein production by becoming larger and increasing their endogenous protein levels, suggesting limited competition for common resources. We propose …	https://www.sciencedirect.com/science/article/pii/S221112471501428X	280
Scaling of the BMP activation gradient in Xenopus embryos	2008.0	['Danny Ben-zvi', 'Ben-zion Shilo', 'Abraham Fainsod', 'Naama Barkai']	Nature	In groundbreaking experiments, Hans Spemann demonstrated that the dorsal part of the amphibian embryo can generate a well-proportioned tadpole, and that a small group of dorsal cells, the ‘organizer’, can induce a complete and well-proportioned twinned axis when transplanted into a host embryo. Key to organizer function is the localized secretion of inhibitors of bone morphogenetic protein (BMP), which defines a graded BMP activation profile. Although the central proteins involved in shaping this gradient are well characterized, their integrated function, and in particular how pattern scales with size, is not understood. Here we present evidence that in Xenopus, the BMP activity gradient is defined by a ‘shuttling-based’mechanism, whereby the BMP ligands are translocated ventrally through their association with the BMP inhibitor Chordin. This shuttling, with feedback repression of the BMP ligand Admp, offers a …	https://www.nature.com/articles/nature07059/boxes/bx1	245
