title	pub_year	authors	journal	abstract	url	num_citations
The human raphe nuclei and the serotonergic system	2003.0	['Jean-pierre Hornung']		The raphe nuclei are distributed near the midline of the brainstem along its entire rostro-caudal extension. The serotonergic neurons are their main neuronal components, although a proportion of them lie in subdivisions of the lateral reticular formation. They develop from mesopontine and medullary primordia, and the resulting grouping into rostral and caudal clusters is maintained into adulthood, and is reflected in the connectivity. Thus, the mesencephalon and rostral pons, neurons within the rostral raphe complex (caudal linear, dorsal raphe, and median raphe nuclei) project primarily to the forebrain. By contrast, in the caudal pons and medulla oblongata, neurons within the caudal raphe complex (raphe magnus, raphe obscurus, raphe pallidus nuclei and parts of the adjacent lateral reticular formation) project to the brainstem nuclei and to the spinal cord. The median raphe and dorsal raphe nuclei provide …	https://www.sciencedirect.com/science/article/pii/S0891061803001157	852
Cortical 5-HT2A receptor signaling modulates anxiety-like behaviors in mice	2006.0	['Noelia V Weisstaub', 'Mingming Zhou', 'Alena Lira', 'Evelyn Lambe', 'Javier González-maeso', 'Jean-pierre Hornung', 'Etienne Sibille', 'Mark Underwood', 'Shigeyoshi Itohara', 'William T Dauer', 'Mark S Ansorge', 'Emanuela Morelli', 'J John Mann', 'Miklos Toth', 'George Aghajanian', 'Stuart C Sealfon', 'René Hen', 'Jay A Gingrich']	Science	Serotonin [5-hydroxytryptamine (5-HT)] neurotransmission in the central nervous system modulates depression and anxiety-related behaviors in humans and rodents, but the responsible downstream receptors remain poorly understood. We demonstrate that global disruption of 5-HT2A receptor (5HT2AR) signaling in mice reduces inhibition in conflict anxiety paradigms without affecting fear-conditioned and depression-related behaviors. Selective restoration of 5HT2AR signaling to the cortex normalized conflict anxiety behaviors. These findings indicate a specific role for cortical 5HT2AR function in the modulation of conflict anxiety, consistent with models of cortical, “top-down” influences on risk assessment.	https://www.science.org/doi/abs/10.1126/science.1123432	496
Patterns of synaptic input to layer 4 of cat striate cortex	1984.0	['Barbara A Mcguire', 'Jean-pierre Hornung', 'Charles D Gilbert', 'Torsten N Wiesel']	Journal of neuroscience	Although cells in layer 4 of cat striate cortex represent the first stage in the cortical processing of visual information, they have considerably more complicated receptive field properties than the afferents to the layer from the lateral geniculate nucleus. In considering how these properties are generated, we have focused on the intrinsic cortical circuitry, and particularly on the projection to layer 4 from layer 6. Layer 6 pyramidal cells were injected with horseradish peroxidase and examined at the light and electron microscopic level. The labeled axon terminals were found to form asymmetric synapses and to show a strong preference for contacting dendritic shafts. Serial reconstruction of dendrites postsynaptic to labeled layer 6 cell axon terminals showed that a large proportion of the postsynaptic dendrites belonged to smooth and sparsely spiny stellate cells, suggesting a selective innervation of these cell types. In …	https://www.jneurosci.org/content/4/12/3021.short	272
Distribution, morphology and number of monoamine-synthesizing and substance P-containing neurons in the human dorsal raphe nucleus	1991.0	['Kg Baker', 'Gm Halliday', 'J-p Hornung', 'Lb Geffen', 'Rgh Cotton']	Neuroscience	The distribution, morphology and number of serotonin-, catecholamine- and substance P-containing neurons in the human dorsal raphe nucleus were studied. Parallel series of sections were prepared from 10 human brainstems obtained at autopsy from palients without neurological disease aged between 42 and 88 years. The neurons were identified using immunohistochemistry with antibodies raised against phenylalanine hydroxylase (tryptophan hydroxylase-containing, serotonin neurons), tyrosine hydroxylase (catecholamine neurons) and substance P.A reference series of Nissl-stained sections was also prepared and data published separately were used to delineate the subnuclear divisions of the dorsal raphe nucleus and to establish the total number of neurons in each subnucleus.The following principal findings emerged.(1)Serotonin-synthesizing neurons are present in all regions of the dorsal raphe …Serotonin-synthesizing neurons are present in all regions of the dorsal raphe …	https://www.sciencedirect.com/science/article/pii/030645229190043N	247
Increased exploratory activity and altered response to LSD in mice lacking the 5-HT5A receptor	1999.0	['Régis Grailhe', 'Christian Waeber', 'Stephanie C Dulawa', 'Jean P Hornung', 'Xiaoxi Zhuang', 'Dani Brunner', 'Mark A Geyer', 'René Hen']	Neuron	In order to determine the distribution and function of the 5-HT5A serotonin receptor subtype, we generated knockout mice lacking the 5-HT5A gene. Comparative autoradiography studies of brains of wild-type (wt) and 5-HT5A knockout (5A-KO) mice revealed the existence of binding sites with high affinity for [125I]LSD that correspond to 5-HT5A receptors and that are concentrated in the olfactory bulb, neocortex, and medial habenula. When exposed to novel environments, the 5A-KO mice displayed increased exploratory activity but no change in anxiety-related behaviors. In addition, the stimulatory effect of LSD on exploratory activity was attenuated in 5A-KO mice. These results suggest that 5-HT5A receptors modulate the activity of neural circuits involved specifically in exploratory behavior and suggest that some of the psychotropic effects of LSD may be mediated by 5-HT5A receptors.	https://www.sciencedirect.com/science/article/pii/S0896627300807126	244
N‐methyl‐d‐aspartate‐triggered neuronal death in organotypic hippocampal cultures is endocytic, autophagic and mediated by the c‐Jun N‐terminal kinase pathway	2003.0	['Tiziana Borsello', 'Karine Croquelois', 'Jean‐pierre Hornung', 'Peter Gh Clarke']	European journal of neuroscience	Acute excitotoxic neuronal death was studied in rat organotypic hippocampal slices exposed to 100 µmN‐methyl‐d‐aspartate. Fulgurant death of pyramidal neurons occurred in the CA1 and CA3 regions and was already detectable within 2 h of the N‐methyl‐d‐aspartate administration. Morphologically, the neuronal death was neither apoptotic nor necrotic but had the hallmarks of autophagic neuronal death, as shown by acid phosphatase histochemistry in both CA1 and CA3 and by electron microscopy in CA1. The dying neurons also manifested strong endocytosis of horseradish peroxidase or microperoxidase, occurring probably by a fluid phase mechanism, and followed, surprisingly, by nuclear entry. In addition to these autophagic and endocytic characteristics, there were indications that the c‐Jun N‐terminal kinase pathway was activated. Its target c‐Jun was selectively phosphorylated in CA1, CA3 and the …	https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1460-9568.2003.02757.x	202
Respiratory failure and unilateral caudal brainstem infarction	1990.0	['J Bogousslavsky', 'R Khurana', 'Jp Deruaz', 'Jp Hornung', 'F Regli', 'R Janzer', 'C Perret']	Annals of neurology: official journal of the american neurological association and the child neurology society	We report clinicotopographic correlations in 2 patients with central hypoventilation and unilateral infarct in the caudal brainstem. One patient had nearly complete loss of ventilation involving both automatic and voluntary components. He showed no ventilator response during a CO2 retention test (Paco2 62 mm Hg, Pao2 82 mm Hg), while consciousness was preserved until death. The infarct involved the reticular formation, nucleus tractus solitarius, nucleus ambiguus, and nucleus retroambiguus on the right but spared the dorsal motor nucleus of the tenth cranial nerve, and sensory and corticospinal tracts. The second patient showed hypoventilation more selectively involving automatic responses (Ondine's curse). The infarct involved the medullary reticular formation and nucleus ambiguus but spared the nucleus tractus solitarius. We suggest that unilateral involvement of pontomedullary reticular formation and …	https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.410280511	169
Transient neuronal populations are required to guide callosal axons: a role for semaphorin 3C	2009.0	['Mathieu Niquille', 'Sonia Garel', 'Fanny Mann', 'Jean-pierre Hornung', 'Belkacem Otsmane', 'Sébastien Chevalley', 'Carlos Parras', 'Francois Guillemot', 'Patricia Gaspar', 'Yuchio Yanagawa', 'Cécile Lebrand']	Plos biology	The corpus callosum (CC) is the main pathway responsible for interhemispheric communication. CC agenesis is associated with numerous human pathologies, suggesting that a range of developmental defects can result in abnormalities in this structure. Midline glial cells are known to play a role in CC development, but we here show that two transient populations of midline neurons also make major contributions to the formation of this commissure. We report that these two neuronal populations enter the CC midline prior to the arrival of callosal pioneer axons. Using a combination of mutant analysis and in vitro assays, we demonstrate that CC neurons are necessary for normal callosal axon navigation. They exert an attractive influence on callosal axons, in part via Semaphorin 3C and its receptor Neuropilin-1. By revealing a novel and essential role for these neuronal populations in the pathfinding of a major cerebral commissure, our study brings new perspectives to pathophysiological mechanisms altering CC formation.	https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1000230	150
Distribution of two morphologically distinct subsets of serotoninergic axons in the cerebral cortex of the marmoset	1990.0	['Jean‐pierre Hornung', 'Jean‐marc Fritschy', 'Istvan Törk']	Journal of comparative neurology	The serotoninergic innervation of the marmoset (New World monkey, Callithrix jacchus) cerebral cortex has been analyzed by using immunocytochemistry. The use of a sensitive monoclonal antibody against serotonin allowed the visualization of the fine morphology of individual axons. Two types of terminal axons were demonstrated: one has sparse, small, ovoid varicosities (dia. less than 1 μm), and the other has large, spheroidal varicosities (up to 5 μm in dia.), which are more densely clustered. The first type of axon is distributed through all cortical layers, with a characteristic laminar distribution that varies from area to area. The second type of axons was distributed sparsely in all regions but was markedly denser in the frontal and anterior parietal lobes, and in the hippocampal formation.Axons with large varicosities typically surrounded certain cell bodies and proximal dendrites, forming pericellular arrays, or …	https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.902970202	128
The human locus coeruleus complex: an immunohistochemical and three dimensional reconstruction study	1989.0	['Kg Baker', 'I Törk', 'J -p Hornung', 'P Halasz']	Experimental brain research	The CA (catecholamine/catecholaminergic) cell populations of the locus coeruleus (LC) and subcoeruleus (SubC) were studied using serial sections of the human brainstem immunostained with an antibody against tyrosine hydroxylase. The tyrosine hydroxylase-immunoreactive (TH-IR) neurons were plotted in a computer reconstruction system and their number and soma size determined. Serial section computer analysis was then used to create a three dimensional reconstruction of the LC complex. The number of cells containing neuromelanin pigment was also determined and compared with the number of TH-IR cells. In our sample there were 53,900 TH-IR cells in the LC and a further 6260 cells in the SubC. These numbers were very similar to our estimates of the number of cells containing neuromelanin pigment and we concluded that virtually all of these cells were also tyrosine hydroxylase positive …	https://link.springer.com/article/10.1007/BF00274983	124
