,title,year,authors,abstract
0,Peptide mapping by limited proteolysis in sodium dodecyl sulfate and analysis by gel electrophoresis.,1977,Don W Cleveland and Stuart G Fischer and Marc W Kirschner and Ulrich K Laemmli,"A rapid and convenient method for peptide mapping of proteins has been developed. The technique, which is especially suitable for analysis of proteins that have been isolated from gels containg sodium dodecyl sulfate, involves partial enzymatic proteolysis in the presence of sodium dodecyl sulfate and analysis of the cleavage products by polyacrylamide gel electrophoresis. The pattern of peptide fragments produced is characteristic of the protein substrate and the proteolytic enzyme and is highly reproducible. Several common proteases have been used including chymotrypsin, Staphylococcus aureus protease, and papain."
1,Dynamic instability of microtubule growth,1984,Tim Mitchison and Marc Kirschner,We report here that microtubules in vitro coexist in growing and shrinking populations which interconvert rather infrequently. This dynamic instability is a general property of microtubules and may be fundamental in explaining cellular microtubule organization.
2,A protein factor essential for microtubule assembly,1975,Murray D Weingarten and Arthur H Lockwood and Shu-Ying Hwo and Marc W Kirschner,"A heat stable protein essentail for microtubule assembly has been isolated. This protein, which we designate tau (tau), is present in association with tubulin purified from porcine brain by repeated cycles of polymerization. Tau is separated from tubulin by ion exchange chromatography on phosphocellulose. In the absence of tau, tubulin exists entirely as a 6S dimer of two polypeptide chains (alpha and beta tubulin) with a molecular weight of 120,000, which will not assemble into microtubules in vitro. Addition of tau completely restores tubule-forming capacity. Under nonpolymerizing conditions, tau converts 6S dimers to 36S rings-structures which have been implicated as intermediates in tubule formation. Hence, tau appears to act on the 6S tubulin dimer, activating it for polymerization. The unique ability of tau to restore the normal features of in vitro microtubule assembly makes it likely that tau is a major regulator of …"
3,Cyclin is degraded by the ubiquitin pathway,1991,Michael Glotzer and Andrew W Murray and Marc W Kirschner,"Cyclin degradation is the key step governing exit from mitosis and progress into the next cell cycle. When a region in the N terminus of cyclin is fused to a foreign protein, it produces a hybrid protein susceptible to proteolysis at mitosis. During the course of degradation, both cyclin and the hybrid form conjugates with ubiquitin. The kinetic properties of the conjugates indicate that cyclin is degraded by ubiquitin-dependent proteolysis. Thus anaphase may be triggered by the recognition of cyclin by the ubiquitin-conjugating system."
4,Absolute quantification of proteins and phosphoproteins from cell lysates by tandem MS,2003,Scott A Gerber and John Rush and Olaf Stemman and Marc W Kirschner and Steven P Gygi,"A need exists for technologies that permit the direct quantification of  differences in protein and posttranslationally modified protein expression  levels. Here we present a strategy for the absolute quantification (termed  AQUA) of proteins and their modification states. Peptides are synthesized with  incorporated stable isotopes as ideal internal standards to mimic native  peptides formed by proteolysis. These synthetic peptides can also be prepared  with covalent modifications (e.g., phosphorylation, methylation, acetylation,  etc.) that are chemically identical to naturally occurring posttranslational  modifications. Such AQUA internal standard peptides are then used to precisely  and quantitatively measure the absolute levels of proteins and  posttranslationally modified proteins after proteolysis by using a selected  reaction monitoring analysis in a tandem mass spectrometer. In the present  work, the AQUA strategy was …"
5,Droplet barcoding for single-cell transcriptomics applied to embryonic stem cells,2015,Allon M Klein and Linas Mazutis and Ilke Akartuna and Naren Tallapragada and Adrian Veres and Victor Li and Leonid Peshkin and David A Weitz and Marc W Kirschner,"It has long been the dream of biologists to map gene expression at the single-cell level. With such data one might track heterogeneous cell sub-populations, and infer regulatory relationships between genes and pathways. Recently, RNA sequencing has achieved single-cell resolution. What is limiting is an effective way to routinely isolate and process large numbers of individual cells for quantitative in-depth sequencing. We have developed a high-throughput droplet-microfluidic approach for barcoding the RNA from thousands of individual cells for subsequent analysis by next-generation sequencing. The method shows a surprisingly low noise profile and is readily adaptable to other sequencing-based assays. We analyzed mouse embryonic stem cells, revealing in detail the population structure and the heterogeneous onset of differentiation after leukemia inhibitory factor (LIF) withdrawal. The reproducibility of …"
6,Number and evolutionary conservation of α-and β-tubulin and cytoplasmic β-and γ-actin genes using specific cloned cDNA probes,1980,Don W Cleveland and Margaret A Lopata and Raymond J MacDonald and Nicholas J Cowan and William J Rutter and Marc W Kirschner,"Bacterial clones containing inserted DNA sequences specific for α-tubulin, β-tubulin, β-actin and γ-actin have been constructed from mRNA of embryonic chick brain. Plasmids containing approximately 75, 90 and >90%, respectively, of the sequences present in α-tubulin, β-tubulin and β-actin mRNAs have been isolated as well as clones containing parts of the extensive 3′ untranslated regions of the β- and γ-actin mRNAs. The sequences for the two tubulins do not cross hybridize. Hybridization of labeled, cloned probes for each of the tubulins with chicken DNA digested with several restriction endonucleases reveals about four fragments for α- and four for β-tubulin. This seems to be the number of genes, since both the 5′ and 3′ ends of either cloned tubulin cDNAs hybridize to at least four common fragments in genomic DNA which has been digested with restriction endonucleases. The tubulin probes are able …"
7,A major developmental transition in early Xenopus embryos: I. characterization and timing of cellular changes at the midblastula stage,1982,John Newport and Marc Kirschner,"The Xenopus embryo undergoes 12 rapid synchronous cleavages followed by a period of slower asynchronous divisions more typical of somatic cells. This change in cell cleavage has been termed the midblastula transition (MBT). We show that at the MBT the blastomeres become motile and transcriptionally active for the first time. We have investigated the timing of the MBT and found that it does not depend on cell division, on time since fertilization or on a counting mechanism involving the sequential modification of DNA. Rather, the timing of the MBT depends on reaching a critical ratio of nucleus to cytoplasm. We view the MBT as a consequence of the titration of some substance, originally present in the egg, by the exponentially increasing nuclear material. When this substance is exhausted a new cell program is engaged, leading to the acquisition of several new cell properties."
8,Tankyrase inhibition stabilizes axin and antagonizes Wnt signalling,2009,Shih-Min A Huang and Yuji M Mishina and Shanming Liu and Atwood Cheung and Frank Stegmeier and Gregory A Michaud and Olga Charlat and Elizabeth Wiellette and Yue Zhang and Stephanie Wiessner and Marc Hild and Xiaoying Shi and Christopher J Wilson and Craig Mickanin and Vic Myer and Aleem Fazal and Ronald Tomlinson and Fabrizio Serluca and Wenlin Shao and Hong Cheng and Michael Shultz and Christina Rau and Markus Schirle and Judith Schlegl and Sonja Ghidelli and Stephen Fawell and Chris Lu and Daniel Curtis and Marc W Kirschner and Christoph Lengauer and Peter M Finan and John A Tallarico and Tewis Bouwmeester and Jeffery A Porter and Andreas Bauer and Feng Cong,"The stability of the Wnt pathway transcription factor β-catenin is tightly regulated by the multi-subunit destruction complex. Deregulated Wnt pathway activity has been implicated in many cancers, making this pathway an attractive target for anticancer therapies. However, the development of targeted Wnt pathway inhibitors has been hampered by the limited number of pathway components that are amenable to small molecule inhibition. Here, we used a chemical genetic screen to identify a small molecule, XAV939, which selectively inhibits β-catenin-mediated transcription. XAV939 stimulates β-catenin degradation by stabilizing axin, the concentration-limiting component of the destruction complex. Using a quantitative chemical proteomic approach, we discovered that XAV939 stabilizes axin by inhibiting the poly-ADP-ribosylating enzymes tankyrase 1 and tankyrase 2. Both tankyrase isoforms interact with a highly …"
9,Caspase-3-generated fragment of gelsolin: effector of morphological change in apoptosis,1997,Srinivas Kothakota and Toshifumi Azuma and Christoph Reinhard and Anke Klippel and Jay Tang and Keting Chu and Thomas J McGarry and Marc W Kirschner and Kirston Koths and David J Kwiatkowski and Lewis T Williams,"The caspase-3 (CPP32, apopain, YAMA) family of cysteinyl proteases has been implicated as key mediators of apoptosis in mammalian cells. Gelsolin was identified as a substrate for caspase-3 by screening the translation products of small complementary DNA pools for sensitivity to cleavage by caspase-3. Gelsolin was cleaved in vivo in a caspase-dependent manner in cells stimulated by Fas. Caspase-cleaved gelsolin severed actin filaments in vitro in a Ca2+-independent manner. Expression of the gelsolin cleavage product in multiple cell types caused the cells to round up, detach from the plate, and undergo nuclear fragmentation. Neutrophils isolated from mice lacking gelsolin had delayed onset of both blebbing and DNA fragmentation, following apoptosis induction, compared with wild-type neutrophils. Thus, cleaved gelsolin may be one physiological effector of morphologic change during apoptosis."
